"country","taxid","country_date","count"
"AR","562","2016",40
"AR","562","2017",31
"AR","562","2018",1
"AR","562","2020",158
"AR","562","2021",12
"AR","562","2022",56
"AR","573","1980",1
"AR","573","2014",1
"AR","573","2014-05-05",1
"AR","573","2014-10-09",1
"AR","573","2015",3
"AR","573","2015-12",1
"AR","573","2017",2
"AR","573","2017-12",1
"AR","573","2018",19
"AR","573","2019-08-09",1
"AR","573","2019-11-22",1
"AR","573","2020-07-17",1
"AR","573","2020-12-11",1
"AR","621","2021",1
"AR","622","1989",2
"AR","622","2010",1
"AR","622","2011",1
"AR","622","2016",1
"AR","622","2020",1
"AR","624","2002",2
"AR","624","2004",5
"AR","624","2005",9
"AR","624","2006",3
"AR","624","2007",4
"AR","624","2008",8
"AR","624","2009",8
"AR","624","2010",6
"AR","624","2011",5
"AR","624","2016-04-12",1
"AR","90370","1905",4
"AR","90370","1988",2
"AR","90370","1999",1
"AR","90370","2001",1
"AR","90370","2002",1
"AR","90370","2004",2
"AR","90370","2006",1
"AR","90370","2017",3
"AT","1019","2019-07-12",1
"AT","1280","2005",3
"AT","1280","2006",5
"AT","1280","2006-10-19",1
"AT","1280","2006-10-27",1
"AT","1280","2006-10-31",1
"AT","1280","2006-11-15",1
"AT","1280","2006-11-16",1
"AT","1280","2007",8
"AT","1280","2007-01-31",1
"AT","1280","2007-02-05",1
"AT","1280","2011",1
"AT","1280","2012",1
"AT","1280","2013",11
"AT","1280","2015-07-25",1
"AT","1280","2015-11-03",1
"AT","1280","2016",1
"AT","1280","2016-04-01",1
"AT","1280","2016-05-24",1
"AT","1280","2025",48
"AT","1313","2008",1
"AT","1351","2017-09-28",1
"AT","1352","2012",1
"AT","1352","2013",3
"AT","1352","2014",19
"AT","1352","2015",14
"AT","1352","2016",8
"AT","1352","2017",5
"AT","1352","2018",1
"AT","1352","2020",5
"AT","1396","2018-08-07",2
"AT","1463165","1997",1
"AT","1463165","1997-01-01",1
"AT","1463165","2014",1
"AT","1463165","2019",1
"AT","1813821","2020",1
"AT","197","2009",11
"AT","197","2010",19
"AT","197","2016-03",3
"AT","197614","2019",1
"AT","244366","1997",1
"AT","244366","2014",1
"AT","244366","2019",4
"AT","287","1997-01-29",1
"AT","287","2017-03-28",1
"AT","287","2017-04-18",1
"AT","287","2017-06-30",1
"AT","287","2019-11-27",1
"AT","287","2020-01-27",1
"AT","287","2020-04-06",1
"AT","287","2020-04-27",1
"AT","287","2020-04-30",1
"AT","287","2020-06-09",1
"AT","287","2020-06-30",1
"AT","287","2020-07-13",1
"AT","287","2020-07-24",1
"AT","287","2020-08-18",2
"AT","287","2020-10-06",1
"AT","287","2020-10-16",1
"AT","287","2020-11-09",1
"AT","287","2020-12-22",1
"AT","287","2021",5
"AT","287","2021-01-04",1
"AT","287","2021-02-10",1
"AT","287","2021-03-15",1
"AT","287","2021-05-19",1
"AT","287","2021-06-10",1
"AT","287","2021-07-20",1
"AT","287","2021-07-23",1
"AT","287","2021-08-10",1
"AT","287","2021-09-09",1
"AT","287","2021-10-15",1
"AT","287","2021-11-19",1
"AT","287","2021-12-02",1
"AT","287","2021-12-06",1
"AT","287","2021-12-23",1
"AT","287","2022",1
"AT","287","2022-02-14",1
"AT","287","2022-02-18",1
"AT","287","2022-02-24",1
"AT","287","2022-03-07",1
"AT","287","2022-03-28",2
"AT","287","2022-04-25",6
"AT","287","2022-04-26",1
"AT","287","2022-05-23",1
"AT","287","2022-06-09",1
"AT","287","2022-06-20",1
"AT","287","2022-07-11",1
"AT","287","2022-07-15",1
"AT","287","2022-09-26",2
"AT","287","2022-10-18",1
"AT","287","2022-11-02",1
"AT","287","2022-11-07",1
"AT","287","2022-11-21",2
"AT","287","2023",5
"AT","287","2023-01-11",1
"AT","287","2023-02-16",1
"AT","28901","2014",2
"AT","32644","2013-08-28",1
"AT","32644","2020",1
"AT","34062","2019",1
"AT","354276","2012",2
"AT","354276","2017-03-27",1
"AT","354276","2017-05-03",1
"AT","485","2016-06-24",1
"AT","485","2016-07-07",1
"AT","485","2016-07-14",3
"AT","485","2016-07-21",1
"AT","485","2016-08-02",3
"AT","485","2016-08-25",2
"AT","485","2016-09-13",1
"AT","485","2016-09-22",1
"AT","485","2016-10-06",1
"AT","485","2016-10-10",2
"AT","485","2016-10-13",3
"AT","485","2016-10-14",1
"AT","485","2016-10-25",1
"AT","485","2016-10-27",1
"AT","485","2016-11-03",2
"AT","485","2016-11-08",1
"AT","485","2016-11-09",2
"AT","485","2016-11-10",2
"AT","485","2016-11-21",1
"AT","485","2016-11-23",1
"AT","485","2016-11-24",2
"AT","485","2016-11-29",3
"AT","485","2016-12-07",1
"AT","485","2016-12-20",2
"AT","485","2016-12-30",1
"AT","485","2017-01-02",1
"AT","485","2017-01-04",2
"AT","485","2017-01-17",1
"AT","485","2017-01-23",1
"AT","485","2017-01-25",1
"AT","485","2017-01-27",1
"AT","485","2017-02-10",3
"AT","485","2017-02-27",1
"AT","485","2017-03-01",1
"AT","485","2017-03-06",4
"AT","485","2017-03-10",1
"AT","485","2017-03-16",1
"AT","485","2017-03-22",1
"AT","485","2017-03-29",1
"AT","485","2017-03-30",2
"AT","485","2017-03-31",1
"AT","485","2017-04-14",1
"AT","485","2017-05-11",1
"AT","485","2017-05-22",2
"AT","485","2017-05-24",2
"AT","485","2017-06-19",1
"AT","485","2017-06-21",1
"AT","485","2017-06-26",1
"AT","485","2017-07-05",1
"AT","485","2017-07-06",1
"AT","485","2017-07-13",3
"AT","485","2017-07-17",1
"AT","485","2017-07-18",1
"AT","485","2017-07-21",1
"AT","485","2017-07-27",1
"AT","485","2017-08-17",1
"AT","485","2017-08-18",1
"AT","485","2017-08-21",5
"AT","485","2017-08-31",1
"AT","485","2017-09-05",2
"AT","485","2017-09-12",1
"AT","485","2017-09-13",1
"AT","485","2017-09-19",1
"AT","485","2017-09-22",2
"AT","485","2017-10-04",1
"AT","485","2017-10-09",1
"AT","485","2017-10-12",1
"AT","485","2017-10-16",1
"AT","485","2017-10-17",2
"AT","485","2017-10-18",1
"AT","485","2017-10-19",1
"AT","485","2017-10-24",1
"AT","485","2017-10-27",1
"AT","485","2017-10-30",1
"AT","485","2017-11-14",1
"AT","485","2017-12-07",4
"AT","485","2017-12-20",2
"AT","485","2018-01-02",2
"AT","485","2018-01-03",2
"AT","485","2018-01-04",1
"AT","485","2018-01-10",7
"AT","485","2018-01-12",1
"AT","485","2018-01-13",7
"AT","485","2018-01-16",3
"AT","485","2018-01-17",1
"AT","485","2018-01-19",2
"AT","485","2018-01-20",2
"AT","485","2018-01-22",1
"AT","485","2018-01-24",5
"AT","485","2018-01-30",2
"AT","485","2018-01-31",2
"AT","485","2018-02-07",2
"AT","485","2018-02-14",1
"AT","485","2018-02-21",2
"AT","485","2018-02-26",1
"AT","485","2018-02-28",1
"AT","485","2018-03-02",2
"AT","485","2018-03-06",1
"AT","485","2018-03-07",1
"AT","485","2018-03-09",1
"AT","485","2018-03-13",3
"AT","485","2018-03-14",1
"AT","485","2018-03-15",1
"AT","485","2018-03-20",3
"AT","485","2018-03-21",2
"AT","485","2018-03-23",3
"AT","485","2018-03-26",1
"AT","485","2018-03-27",2
"AT","485","2018-03-28",1
"AT","485","2018-04-05",1
"AT","485","2018-04-06",1
"AT","485","2018-04-11",3
"AT","485","2018-04-13",1
"AT","485","2018-04-14",4
"AT","485","2018-04-17",2
"AT","485","2018-04-18",3
"AT","485","2018-04-24",1
"AT","485","2018-04-25",1
"AT","485","2018-04-26",3
"AT","485","2018-04-27",3
"AT","485","2018-05-02",1
"AT","485","2018-05-03",2
"AT","485","2018-05-04",1
"AT","485","2018-05-07",1
"AT","485","2018-05-09",1
"AT","485","2018-05-11",1
"AT","485","2018-05-15",1
"AT","485","2018-05-16",2
"AT","485","2018-05-18",1
"AT","485","2018-05-22",2
"AT","485","2018-05-23",3
"AT","485","2018-05-25",1
"AT","485","2018-06-01",1
